User ID,Fan Challenges Completed,Predictive Accuracy (%),Virtual Merchandise Purchases,Sponsorship Interactions (Ad Clicks),Time on Live 360 (mins),Real-Time Chat Activity (Messages Sent)
U001,5,80,3,10,120,20
U002,8,60,1,8,100,35
U003,3,90,0,6,90,5
U004,7,70,2,15,140,40
U005,2,50,5,3,60,8
U006,10,85,6,12,180,25
U007,6,75,4,5,130,15
U008,9,95,2,9,150,45
U009,4,65,1,2,80,10
U010,3,55,0,4,95,6
U011,7,84,6,16,163,9
U012,4,82,2,1,196,4
U013,8,54,5,0,102,35
U014,5,91,0,15,98,33
U015,7,88,3,11,85,30
U016,10,90,0,4,158,9
U017,3,77,5,4,109,18
U018,7,56,0,8,72,31
U019,8,58,1,8,119,0
U020,5,57,3,2,194,4
U021,4,61,3,18,116,44
U022,8,83,5,15,95,3
U023,8,82,6,15,79,15
U024,3,97,1,2,124,23
U025,6,72,2,19,67,15
U026,5,73,0,0,174,1
U027,2,86,4,19,151,48
U028,8,84,0,10,157,27
U029,6,93,0,16,125,31
U030,2,89,2,7,91,26
U031,5,71,0,3,145,19
U032,1,76,1,5,110,23
U033,10,84,1,7,122,11
U034,6,50,3,19,184,49
U035,9,84,5,2,117,34
U036,1,86,6,15,117,32
U037,10,96,4,2,145,32
U038,3,63,0,17,108,42
U039,7,52,0,13,129,36
U040,4,50,2,17,74,11
U041,9,54,5,1,113,2
U042,3,75,1,2,160,0
U043,5,63,4,15,67,32
U044,3,88,3,8,112,39
U045,7,76,1,3,119,9
U046,5,58,5,0,167,42
U047,9,64,6,3,64,43
U048,7,64,3,0,162,28
U049,2,75,6,13,65,12
U050,4,91,2,15,168,11
U051,9,62,2,19,175,30
U052,2,81,0,7,153,45
U053,10,88,6,6,106,1
U054,9,98,5,2,158,49
U055,10,81,4,16,114,34
U056,5,53,3,0,111,22
U057,2,79,1,15,72,16
U058,4,86,5,11,173,25
U059,7,72,5,18,183,7
U060,8,88,2,13,165,28
U061,3,94,6,5,179,25
U062,1,64,0,5,122,9
U063,4,92,0,12,78,25
U064,2,78,3,18,151,33
U065,8,85,2,7,117,40
U066,4,62,5,1,149,6
U067,2,81,4,0,176,3
U068,6,56,2,14,121,49
U069,6,71,3,0,82,44
U070,10,77,3,4,186,10
U071,4,51,2,15,196,28
U072,6,91,3,18,199,35
U073,2,94,2,3,188,24
U074,10,55,1,2,117,20
U075,2,77,2,16,181,35
U076,10,77,6,16,60,9
U077,4,93,2,11,93,36
U078,8,93,3,13,155,8
U079,7,69,6,5,185,23
U080,9,79,3,2,177,34
U081,8,60,0,8,107,48
U082,5,77,0,4,148,34
U083,2,74,6,16,176,47
U084,5,88,1,13,188,35
U085,8,82,0,2,75,17
U086,10,50,2,0,128,48
U087,9,76,3,19,81,38
U088,9,62,0,0,152,31
U089,1,90,0,2,135,23
U090,9,52,1,17,145,22
U091,7,88,6,9,88,31
U092,9,55,6,2,128,36
U093,8,57,5,7,106,11
U094,1,76,1,13,153,48
U095,8,58,2,17,144,12
U096,8,86,6,14,98,22
U097,3,82,3,1,159,24
U098,1,91,1,9,92,34
U099,8,93,0,1,160,40
U100,3,73,3,16,82,29
